input,labels,input_len,preprocessed
"According to this news topic , a swimsuit was invented , using traditional material and techniques of the Kimono .",1,20,"According to this news topic , a swimsuit wa invented , using traditional material and technique of the Kimono ."
More help,0,2,More help
But we were worried .,1,5,But we were worried .
Where a man is determined by how much a man makes,1,11,Where a man is determined by how much a man make
I will take a TOEIC test on May th .,0,10,I will take a TOEIC test on May th .
I have had many experices like this .,0,8,I have had many experices like this .
"I like to eat , but",1,6,"I like to eat , but"
I could not believe it .,1,6,I could not believe it .
"I fed one kangaroos , it is very good !I am very happy to be from Australia !",0,18,"I fed one kangaroo , it is very good !I am very happy to be from Australia !"
"If I had lost only one point , I could not have passed .",1,14,"If I had lost only one point , I could not have passed ."
A He was so tired he went to bed early .,0,11,A He wa so tired he went to bed early .
"I know it is not good but unfortunately , it is me .",1,13,"I know it is not good but unfortunately , it is me ."
"I do nt need another LV bag in my home , or Chanel .",1,14,"I do nt need another LV bag in my home , or Chanel ."
Midnight snack,0,2,Midnight snack
"Long time no see , guys !",0,7,"Long time no see , guy !"
"For example , Pantenon in Rome is used by different kind of concrete from modern architecture .",0,17,"For example , Pantenon in Rome is used by different kind of concrete from modern architecture ."
But I ca not to use prepositions right and do not know order words in sentence ,0,17,But I ca not to use preposition right and do not know order word in sentence 
"Today is the holiday , but we have school because of a practice examination .",1,15,"Today is the holiday , but we have school because of a practice examination ."
I think that output is more important than input .,1,10,I think that output is more important than input .
Bothers people .,1,3,Bothers people .
" laugh Now , General , you heard I declared victory , right ?",1,14," laugh Now , General , you heard I declared victory , right ?"
John Kerry calls on us to hope .,1,8,John Kerry call on u to hope .
"Being a parent in Japan , especially be a mother , means you have to give up your personal life , sometimes even the career .",0,26,"Being a parent in Japan , especially be a mother , mean you have to give up your personal life , sometimes even the career ."
This is my Declaration,1,4,This is my Declaration
I am TK from Vietnam .,0,6,I am TK from Vietnam .
"But now I think he is very romantic , and he also need true love .",0,16,"But now I think he is very romantic , and he also need true love ."
I love dog .,0,4,I love dog .
"After that , the hives continued throughout this week .",1,10,"After that , the hive continued throughout this week ."
A meeting directly is rich rather than email or indirect communication .,0,12,A meeting directly is rich rather than email or indirect communication .
"Third , tourists have a right to enjoy the nature in Antarctica .",0,13,"Third , tourist have a right to enjoy the nature in Antarctica ."
A hurricane is coming,0,4,A hurricane is coming
I will show some story about stress .,0,8,I will show some story about stress .
I have a dream .,1,5,I have a dream .
She ca not overlook any trivial mistakes .,1,8,She ca not overlook any trivial mistake .
Does everyone listen to some music ?,1,7,Does everyone listen to some music ?
HAPPY HALLOWEEN,1,2,HAPPY HALLOWEEN
I love boxing ! !,0,5,I love boxing ! !
Summarizing this year . I can not escape my fate destined by the Vergo sign .,0,16,Summarizing this year . I can not escape my fate destined by the Vergo sign .
I am happy to recommend Ms .,1,7,I am happy to recommend Ms .
This is my first writing in Lang - .,1,9,This is my first writing in Lang - .
The rest of time I indulge in an epidsode .,0,10,The rest of time I indulge in an epidsode .
I really wish we do not hear too much of those disaster .,0,13,I really wish we do not hear too much of those disaster .
I will sweat because there is no air conditioner in my room .,0,13,I will sweat because there is no air conditioner in my room .
This is the application for studying abroad .,0,8,This is the application for studying abroad .
It is not because of escaping from reality but making myself motivated up .,0,14,It is not because of escaping from reality but making myself motivated up .
"But last week was the test week , so we did not do that .",1,15,"But last week wa the test week , so we did not do that ."
I often heard that I was same as Nicolas Cage .,0,11,I often heard that I wa same a Nicolas Cage .
"Also , Lang - helps me to improve my writing skills .",1,12,"Also , Lang - help me to improve my writing skill ."
Maybe you skip some sentences and you ca not understand the chapter .,1,13,Maybe you skip some sentence and you ca not understand the chapter .
